year,month,day,amount
2020,6,18,578
2020,6,17,482
2020,6,16,556
2020,6,15,584
2020,6,14,0
2020,6,13,0
2020,6,12,658
2020,6,11,489
2020,6,10,533
2020,6,9,529
2020,6,8,551
2020,6,7,0
2020,6,6,0
2020,6,5,628
2020,6,4,451
2020,6,3,448
2020,6,2,484
2020,6,1,529
2020,5,31,0
2020,5,30,0
2020,5,29,689
2020,5,28,525
2020,5,27,475
2020,5,26,506
2020,5,25,556
2020,5,24,0
2020,5,23,0
2020,5,22,639
2020,5,21,530
2020,5,20,474
2020,5,19,481
2020,5,18,557
2020,5,17,0
2020,5,16,0
2020,5,15,641
2020,5,14,469
2020,5,13,443
2020,5,12,456
2020,5,11,401
2020,5,10,0
2020,5,9,436
2020,5,8,344
2020,5,7,286
2020,5,6,300
2020,5,5,0
2020,5,4,0
2020,5,3,0
2020,5,2,0
2020,5,1,0
2020,4,30,516
2020,4,29,402
2020,4,28,397
2020,4,27,424
2020,4,26,368
2020,4,25,0
2020,4,24,471
2020,4,23,381
2020,4,22,351
2020,4,21,407
2020,4,20,410
2020,4,19,0
2020,4,18,0
2020,4,17,468
2020,4,16,392
2020,4,15,346
2020,4,14,357
2020,4,13,396
2020,4,12,0
2020,4,11,0
2020,4,10,452
2020,4,9,337
2020,4,8,286
2020,4,7,333
2020,4,6,0
2020,4,5,0
2020,4,4,0
2020,4,3,387
2020,4,2,317
2020,4,1,286
2020,3,31,342
2020,3,30,333
2020,3,29,0
2020,3,28,0
2020,3,27,410
2020,3,26,409
2020,3,25,417
2020,3,24,367
2020,3,23,489
2020,3,22,0
2020,3,21,0
2020,3,20,431
2020,3,19,427
2020,3,18,413
2020,3,17,460
2020,3,16,485
2020,3,15,0
2020,3,14,0
2020,3,13,424
2020,3,12,358
2020,3,11,334
2020,3,10,394
2020,3,9,431
2020,3,8,0
2020,3,7,0
2020,3,6,439
2020,3,5,348
2020,3,4,303
2020,3,3,268
2020,3,2,299
2020,3,1,0
2020,2,29,0
2020,2,28,251
2020,2,27,228
2020,2,26,199
2020,2,25,180
2020,2,24,144
2020,2,23,0
2020,2,22,0
2020,2,21,117
2020,2,20,92
2020,2,19,116
2020,2,18,87
2020,2,17,81
2020,2,16,0
2020,2,15,0
2020,2,14,49
2020,2,13,31
2020,2,12,46
2020,2,11,37
2020,2,10,61
2020,2,7,15
2020,2,6,9
2020,2,5,13
2020,2,4,22
2020,1,23,45
2020,1,22,99
2020,1,21,202
2020,1,20,304
2020,1,19,397
2020,1,18,0
2020,1,17,647
2020,1,16,594
2020,1,15,663
2020,1,14,697
2020,1,13,724
2020,1,12,0
2020,1,11,0
2020,1,10,687
2020,1,9,603
2020,1,8,524
2020,1,7,500
2020,1,6,499
2020,1,5,0
2020,1,4,0
2020,1,3,497
2020,1,2,408
2020,1,1,0
2019,12,31,509
2019,12,30,565
2019,12,29,0
2019,12,28,0
2019,12,27,574
2019,12,26,543
2019,12,25,523
2019,12,24,535
2019,12,23,585
2019,12,22,0
2019,12,21,0
2019,12,20,604
2019,12,19,517
2019,12,18,454
2019,12,17,462
2019,12,16,521
2019,12,15,0
2019,12,14,0
2019,12,13,560
2019,12,12,487
2019,12,11,481
2019,12,10,431
2019,12,9,467
2019,12,8,0
2019,12,7,0
2019,12,6,515
2019,12,5,432
2019,12,4,360
2019,12,3,320
2019,12,2,413
2019,12,1,0
2019,11,30,0
2019,11,29,468
2019,11,28,405
2019,11,27,376
2019,11,26,350
2019,11,25,448
2019,11,24,0
2019,11,23,0
2019,11,22,543
2019,11,21,437
2019,11,20,429
2019,11,19,415
2019,11,18,469
2019,11,17,0
2019,11,16,0
2019,11,15,486
2019,11,14,389
2019,11,13,394
2019,11,12,387
2019,11,11,409
2019,11,10,0
2019,11,9,0
2019,11,8,505
2019,11,7,363
2019,11,6,393
2019,11,5,309
2019,11,4,384
2019,11,3,0
2019,11,2,0
2019,11,1,428
2019,10,31,371
2019,10,30,390
2019,10,29,342
2019,10,28,432
2019,10,27,0
2019,10,26,0
2019,10,25,509
2019,10,24,424
2019,10,23,433
2019,10,22,408
2019,10,21,501
2019,10,20,0
2019,10,19,0
2019,10,18,583
2019,10,17,470
2019,10,16,497
2019,10,15,458
2019,10,14,465
2019,10,13,0
2019,10,12,368
2019,10,11,379
2019,10,10,329
2019,10,9,291
2019,10,8,255
2019,10,7,0
2019,10,6,0
2019,10,5,0
2019,10,4,0
2019,10,3,0
2019,10,2,0
2019,10,1,0
2019,9,30,328
2019,9,29,380
2019,9,28,0
2019,9,27,424
2019,9,26,349
2019,9,25,416
2019,9,24,421
2019,9,23,441
2019,9,22,0
2019,9,21,0
2019,9,20,456
2019,9,19,387
2019,9,18,418
2019,9,17,379
2019,9,16,384
2019,9,15,0
2019,9,14,0
2019,9,13,0
2019,9,12,454
2019,9,11,376
2019,9,10,341
2019,9,9,364
2019,9,8,0
2019,9,7,0
2019,9,6,436
2019,9,5,322
2019,9,4,298
2019,9,3,283
2019,9,2,282
2019,9,1,0
2019,8,31,0
2019,8,30,423
2019,8,29,346
2019,8,28,290
2019,8,27,310
2019,8,26,372
2019,8,25,0
2019,8,24,0
2019,8,23,376
2019,8,22,344
2019,8,21,289
2019,8,20,298
2019,8,19,368
2019,8,18,0
2019,8,17,0
2019,8,16,389
2019,8,15,312
2019,8,14,319
2019,8,13,297
2019,8,12,384
2019,8,11,0
2019,8,10,0
2019,8,9,411
2019,8,8,332
2019,8,7,279
2019,8,6,310
2019,8,5,349
2019,8,4,0
2019,8,3,0
2019,8,2,332
2019,8,1,296
2019,7,31,343
2019,7,30,318
2019,7,29,337
2019,7,28,0
2019,7,27,0
2019,7,26,403
2019,7,25,338
2019,7,24,314
2019,7,23,311
2019,7,22,341
2019,7,21,0
2019,7,20,0
2019,7,19,368
2019,7,18,332
2019,7,17,319
2019,7,16,0
2019,7,15,308
2019,7,14,0
2019,7,13,0
2019,7,12,413
2019,7,11,374
2019,7,10,369
2019,7,9,338
2019,7,8,360
2019,7,7,0
2019,7,6,0
2019,7,5,435
2019,7,4,306
2019,7,3,316
2019,7,2,272
2019,7,1,311
2019,6,30,0
2019,6,29,0
2019,6,28,426
2019,6,27,317
2019,6,26,348
2019,6,25,252
2019,6,24,328
2019,6,23,0
2019,6,22,0
2019,6,21,422
2019,6,20,371
2019,6,19,337
2019,6,18,334
2019,6,17,353
2019,6,16,0
2019,6,15,0
